Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_165,VPWR,li1,82.1100,35.3600,1.799600
FILLER_9_137,VPWR,li1,68.7700,35.3600,1.799614
FILLER_9_131,VPWR,li1,67.1600,35.3600,1.799614
FILLER_9_113,VPWR,li1,57.9600,35.3600,1.799627
FILLER_9_77,VPWR,li1,41.4000,35.3600,1.799690
FILLER_9_42,VPWR,li1,26.6800,35.3600,1.799828
FILLER_9_30,VPWR,li1,19.5500,35.3600,1.799874
FILLER_9_24,VPWR,li1,17.9400,35.3600,1.799874
FILLER_9_12,VPWR,li1,13.8000,35.3600,1.799870
FILLER_8_141,VPWR,li1,70.6100,35.3600,1.799611
FILLER_8_138,VPWR,li1,69.4600,35.3600,1.799611
FILLER_8_111,VPWR,li1,57.0400,35.3600,1.799631
FILLER_8_85,VPWR,li1,44.8500,35.3600,1.799665
FILLER_8_83,VPWR,li1,43.9300,35.3600,1.799665
FILLER_8_51,VPWR,li1,30.8200,35.3600,1.799787
FILLER_8_39,VPWR,li1,26.2200,35.3600,1.799828
FILLER_8_29,VPWR,li1,19.5500,35.3600,1.799874
FILLER_8_3,VPWR,li1,7.1300,35.3600,1.799870
FILLER_7_181,VPWR,li1,89.0100,29.9200,1.799836
FILLER_7_169,VPWR,li1,83.9500,29.9200,1.799838
FILLER_7_150,VPWR,li1,74.9800,29.9200,1.799846
FILLER_7_138,VPWR,li1,69.2300,29.9200,1.799853
FILLER_7_131,VPWR,li1,66.2400,29.9200,1.799856
FILLER_7_121,VPWR,li1,61.8700,29.9200,1.799860
FILLER_7_113,VPWR,li1,59.3400,29.9200,1.799862
FILLER_7_110,VPWR,li1,56.5800,29.9200,1.799867
FILLER_7_90,VPWR,li1,47.6100,29.9200,1.799876
FILLER_7_73,VPWR,li1,40.4800,29.9200,1.799893
FILLER_7_48,VPWR,li1,29.4400,29.9200,1.799929
FILLER_7_36,VPWR,li1,24.8400,29.9200,1.799945
FILLER_7_24,VPWR,li1,19.3200,29.9200,1.799954
FILLER_6_136,VPWR,li1,69.0000,29.9200,1.799853
FILLER_6_65,VPWR,li1,35.6500,29.9200,1.799908
FILLER_6_53,VPWR,li1,32.6600,29.9200,1.799922
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.799937
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.799956
FILLER_6_22,VPWR,li1,17.0200,29.9200,1.799952
FILLER_6_7,VPWR,li1,8.9700,29.9200,1.799945
FILLER_5_181,VPWR,li1,89.0100,24.4800,1.799943
FILLER_5_169,VPWR,li1,83.9500,24.4800,1.799944
FILLER_5_150,VPWR,li1,74.9800,24.4800,1.799949
FILLER_5_145,VPWR,li1,72.6800,24.4800,1.799950
FILLER_5_137,VPWR,li1,70.3800,24.4800,1.799951
FILLER_5_122,VPWR,li1,61.8700,24.4800,1.799957
FILLER_5_116,VPWR,li1,60.2600,24.4800,1.799957
FILLER_5_106,VPWR,li1,55.6600,24.4800,1.799960
FILLER_5_57,VPWR,li1,32.2000,24.4800,1.799975
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799978
FILLER_5_51,VPWR,li1,29.9000,24.4800,1.799978
FILLER_5_39,VPWR,li1,26.2200,24.4800,1.799982
FILLER_5_27,VPWR,li1,20.7000,24.4800,1.799988
FILLER_5_15,VPWR,li1,15.1800,24.4800,1.799988
FILLER_5_3,VPWR,li1,9.6600,24.4800,1.799988
FILLER_4_146,VPWR,li1,75.4400,24.4800,1.799949
FILLER_4_141,VPWR,li1,70.8400,24.4800,1.799951
FILLER_4_139,VPWR,li1,69.6900,24.4800,1.799952
FILLER_4_135,VPWR,li1,68.5400,24.4800,1.799952
FILLER_4_122,VPWR,li1,62.1000,24.4800,1.799956
FILLER_4_110,VPWR,li1,58.8800,24.4800,1.799959
FILLER_4_102,VPWR,li1,52.9000,24.4800,1.799962
FILLER_4_83,VPWR,li1,43.9300,24.4800,1.799967
FILLER_4_57,VPWR,li1,31.9700,24.4800,1.799975
FILLER_4_53,VPWR,li1,30.8200,24.4800,1.799978
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799982
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799988
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799988
FILLER_4_15,VPWR,li1,15.1800,24.4800,1.799988
FILLER_4_3,VPWR,li1,9.6600,24.4800,1.799988
FILLER_3_181,VPWR,li1,89.0100,19.0400,1.799944
FILLER_3_169,VPWR,li1,83.9500,19.0400,1.799944
FILLER_3_167,VPWR,li1,82.5700,19.0400,1.799944
FILLER_3_123,VPWR,li1,62.5600,19.0400,1.799955
FILLER_3_94,VPWR,li1,48.9900,19.0400,1.799964
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.799976
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.799980
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.799982
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.799988
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.799988
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.799988
FILLER_2_157,VPWR,li1,77.9700,19.0400,1.799946
FILLER_2_134,VPWR,li1,67.3900,19.0400,1.799953
FILLER_2_128,VPWR,li1,65.7800,19.0400,1.799954
FILLER_2_119,VPWR,li1,60.7200,19.0400,1.799957
FILLER_2_111,VPWR,li1,58.4200,19.0400,1.799958
FILLER_2_94,VPWR,li1,49.4500,19.0400,1.799964
FILLER_2_81,VPWR,li1,43.4700,19.0400,1.799967
FILLER_2_49,VPWR,li1,28.2900,19.0400,1.799980
FILLER_2_41,VPWR,li1,26.2200,19.0400,1.799982
FILLER_2_29,VPWR,li1,21.6200,19.0400,1.799988
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799988
FILLER_2_15,VPWR,li1,15.1800,19.0400,1.799988
FILLER_2_3,VPWR,li1,9.6600,19.0400,1.799988
FILLER_1_181,VPWR,li1,89.0100,13.6000,1.799924
FILLER_1_177,VPWR,li1,87.8600,13.6000,1.799924
FILLER_1_127,VPWR,li1,64.1700,13.6000,1.799932
FILLER_1_120,VPWR,li1,60.9500,13.6000,1.799934
FILLER_1_73,VPWR,li1,39.3300,13.6000,1.799953
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.799967
FILLER_1_51,VPWR,li1,29.9000,13.6000,1.799967
FILLER_1_39,VPWR,li1,26.2200,13.6000,1.799973
FILLER_1_27,VPWR,li1,20.7000,13.6000,1.799983
FILLER_1_15,VPWR,li1,15.1800,13.6000,1.799983
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799983
FILLER_0_181,VPWR,li1,89.0100,13.6000,1.799924
FILLER_0_169,VPWR,li1,86.0200,13.6000,1.799924
FILLER_0_167,VPWR,li1,82.5700,13.6000,1.799924
FILLER_0_163,VPWR,li1,81.4200,13.6000,1.799924
FILLER_0_151,VPWR,li1,75.9000,13.6000,1.799925
FILLER_0_141,VPWR,li1,71.3000,13.6000,1.799928
FILLER_0_137,VPWR,li1,69.2300,13.6000,1.799929
FILLER_0_125,VPWR,li1,65.7800,13.6000,1.799932
FILLER_0_113,VPWR,li1,60.2600,13.6000,1.799935
FILLER_0_109,VPWR,li1,56.3500,13.6000,1.799937
FILLER_0_97,VPWR,li1,52.9000,13.6000,1.799939
FILLER_0_85,VPWR,li1,47.3800,13.6000,1.799944
FILLER_0_81,VPWR,li1,43.4700,13.6000,1.799948
FILLER_0_69,VPWR,li1,40.0200,13.6000,1.799953
FILLER_0_57,VPWR,li1,34.5000,13.6000,1.799959
FILLER_0_53,VPWR,li1,30.5900,13.6000,1.799967
FILLER_0_41,VPWR,li1,27.1400,13.6000,1.799973
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799983
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799983
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799983
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799983
hold88,VPWR,li1,63.4800,35.3600,1.799620
hold87,VPWR,li1,49.6800,24.4800,1.799964
hold86,VPWR,li1,60.2600,62.5600,1.799881
hold85,VPWR,li1,46.4600,24.4800,1.799966
hold84,VPWR,li1,67.1600,84.3200,1.799921
hold83,VPWR,li1,71.3000,84.3200,1.799921
hold82,VPWR,li1,54.2800,29.9200,1.799870
hold81,VPWR,li1,35.8800,78.8800,1.799944
hold80,VPWR,li1,38.1800,24.4800,1.799970
hold79,VPWR,li1,34.5000,24.4800,1.799972
hold78,VPWR,li1,55.2000,46.2400,1.799842
hold77,VPWR,li1,63.0200,62.5600,1.799878
hold76,VPWR,li1,34.5000,35.3600,1.799736
hold75,VPWR,li1,41.8600,24.4800,1.799968
hold74,VPWR,li1,74.0600,68.0000,1.799780
hold73,VPWR,li1,76.3600,78.8800,1.799931
hold72,VPWR,li1,60.7200,51.6800,1.799848
hold71,VPWR,li1,63.9400,57.1200,1.799631
hold70,VPWR,li1,51.5200,46.2400,1.799852
hold69,VPWR,li1,47.8400,40.8000,1.799434
hold68,VPWR,li1,73.6000,46.2400,1.799803
hold67,VPWR,li1,68.0800,95.2000,1.799997
hold66,VPWR,li1,11.0400,29.9200,1.799947
hold65,VPWR,li1,65.7800,89.7600,1.799859
hold64,VPWR,li1,46.4600,57.1200,1.799694
hold63,VPWR,li1,53.8200,89.7600,1.799873
hold62,VPWR,li1,33.5800,73.4400,1.799577
hold61,VPWR,li1,45.5400,46.2400,1.799874
hold60,VPWR,li1,79.5800,40.8000,1.799146
hold59,VPWR,li1,72.6800,35.3600,1.799607
hold58,VPWR,li1,21.6200,95.2000,1.799999
hold57,VPWR,li1,84.6400,46.2400,1.799796
hold56,VPWR,li1,68.0800,46.2400,1.799813
hold55,VPWR,li1,42.3200,46.2400,1.799880
hold54,VPWR,li1,28.9800,68.0000,1.799901
hold53,VPWR,li1,16.5600,73.4400,1.799798
hold52,VPWR,li1,46.9200,89.7600,1.799882
hold51,VPWR,li1,23.4600,73.4400,1.799758
hold50,VPWR,li1,38.6400,51.6800,1.799906
hold49,VPWR,li1,70.8400,78.8800,1.799931
hold48,VPWR,li1,67.1600,78.8800,1.799931
hold47,VPWR,li1,18.4000,62.5600,1.799959
hold46,VPWR,li1,38.6400,57.1200,1.799766
hold45,VPWR,li1,33.5800,89.7600,1.799913
hold44,VPWR,li1,42.3200,51.6800,1.799892
hold43,VPWR,li1,87.4000,57.1200,1.799621
hold42,VPWR,li1,80.0400,24.4800,1.799946
hold41,VPWR,li1,29.9000,40.8000,1.799714
hold40,VPWR,li1,40.9400,84.3200,1.799944
hold39,VPWR,li1,80.9600,51.6800,1.799823
hold38,VPWR,li1,29.4400,57.1200,1.799850
hold37,VPWR,li1,87.4000,68.0000,1.799774
hold36,VPWR,li1,80.0400,35.3600,1.799601
hold35,VPWR,li1,76.3600,35.3600,1.799604
hold34,VPWR,li1,85.1000,13.6000,1.799924
hold33,VPWR,li1,32.6600,19.0400,1.799976
hold32,VPWR,li1,46.9200,19.0400,1.799965
hold31,VPWR,li1,77.2800,24.4800,1.799947
hold30,VPWR,li1,80.9600,24.4800,1.799946
hold29,VPWR,li1,78.2000,62.5600,1.799865
hold28,VPWR,li1,80.0400,62.5600,1.799864
hold27,VPWR,li1,85.1000,51.6800,1.799821
hold26,VPWR,li1,87.4000,19.0400,1.799944
hold25,VPWR,li1,21.6200,78.8800,1.799970
hold24,VPWR,li1,28.0600,84.3200,1.799967
hold23,VPWR,li1,80.9600,57.1200,1.799621
hold22,VPWR,li1,59.8000,89.7600,1.799867
hold21,VPWR,li1,60.2600,78.8800,1.799931
hold20,VPWR,li1,64.8600,68.0000,1.799789
hold19,VPWR,li1,49.2200,68.0000,1.799818
hold18,VPWR,li1,46.4600,78.8800,1.799936
hold17,VPWR,li1,59.3400,46.2400,1.799831
hold16,VPWR,li1,36.3400,73.4400,1.799536
hold15,VPWR,li1,42.3200,73.4400,1.799455
hold14,VPWR,li1,46.4600,84.3200,1.799938
hold13,VPWR,li1,50.1400,78.8800,1.799934
hold12,VPWR,li1,47.8400,62.5600,1.799895
