Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_18_10,VGND,li1,12.8800,59.8400,0.000033
FILLER_18_3,VGND,li1,7.3600,59.8400,0.000033
FILLER_17_181,VGND,li1,89.0100,59.8400,0.000117
FILLER_17_169,VGND,li1,83.9500,59.8400,0.000116
FILLER_17_156,VGND,li1,78.2000,59.8400,0.000113
FILLER_17_136,VGND,li1,69.9200,59.8400,0.000108
FILLER_17_76,VGND,li1,41.4000,59.8400,0.000074
FILLER_17_57,VGND,li1,32.2000,59.8400,0.000054
FILLER_17_40,VGND,li1,24.1500,59.8400,0.000033
FILLER_17_34,VGND,li1,22.5400,59.8400,0.000033
FILLER_17_22,VGND,li1,18.4000,59.8400,0.000033
FILLER_17_15,VGND,li1,12.6500,59.8400,0.000033
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000033
FILLER_16_151,VGND,li1,75.2100,54.4000,0.000370
FILLER_16_141,VGND,li1,71.0700,54.4000,0.000368
FILLER_16_136,VGND,li1,69.0000,54.4000,0.000367
FILLER_16_113,VGND,li1,57.7300,54.4000,0.000355
FILLER_16_78,VGND,li1,42.7800,54.4000,0.000273
FILLER_16_54,VGND,li1,30.5900,54.4000,0.000162
FILLER_16_47,VGND,li1,27.3700,54.4000,0.000116
FILLER_15_177,VGND,li1,87.1700,54.4000,0.000374
FILLER_15_159,VGND,li1,78.8900,54.4000,0.000373
FILLER_15_144,VGND,li1,71.9900,54.4000,0.000368
FILLER_15_140,VGND,li1,70.8400,54.4000,0.000368
FILLER_15_122,VGND,li1,62.1000,54.4000,0.000361
FILLER_15_101,VGND,li1,52.4400,54.4000,0.000349
FILLER_15_68,VGND,li1,37.0300,54.4000,0.000223
FILLER_15_60,VGND,li1,34.9600,54.4000,0.000203
FILLER_15_41,VGND,li1,25.3000,54.4000,0.000097
FILLER_15_31,VGND,li1,20.2400,54.4000,0.000097
FILLER_15_10,VGND,li1,11.9600,54.4000,0.000098
FILLER_15_3,VGND,li1,7.3600,54.4000,0.000099
FILLER_14_165,VGND,li1,81.6500,48.9600,0.000221
FILLER_14_161,VGND,li1,80.5000,48.9600,0.000221
FILLER_14_141,VGND,li1,70.6100,48.9600,0.000205
FILLER_14_97,VGND,li1,50.8300,48.9600,0.000149
FILLER_14_66,VGND,li1,36.3400,48.9600,0.000098
FILLER_14_54,VGND,li1,33.1200,48.9600,0.000083
