Metric,Value
timing__setup__ws__corner:max_ss_100C_1v60,4.7256244699378795
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.854539
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,5.407612
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,5
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,1.724944680360676
clock__skew__worst_setup__corner:max_ff_n40C_1v95,2.4289748677696585
timing__hold__ws__corner:max_ff_n40C_1v95,0.11561529838521387
timing__setup__ws__corner:max_ff_n40C_1v95,6.825448843752647
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.115615
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79914
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79986
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000857906
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000626401
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000142145
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000626401
design_powergrid__voltage__worst,0.000626401
design_powergrid__voltage__worst__net:VPWR,1.79914
design_powergrid__drop__worst,0.000857906
design_powergrid__drop__worst__net:VPWR,0.000857906
